age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
27.116512298583984,Private,177480.546875,Assoc-voc,11.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,60.0,United-States,<=50K
44.0,Private,238188.0,Assoc-acdm,12.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
46.57106018066406,Private,279129.0,Bachelors,12.449235916137695,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,48.965858459472656,United-States,>50K
39.0,Private,185084.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,55.0,United-States,<=50K
25.0,Private,181054.0,Bachelors,13.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,32.0,United-States,<=50K
51.71952819824219,Private,201127.0,HS-grad,9.0,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,46.266197204589844,United-States,<=50K
42.68206787109375,Self-emp-not-inc,373403.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,44.814178466796875,51.200279235839844,United-States,<=50K
51.0,Private,84713.1640625,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,7688.0,0.0,38.25370407104492,United-States,>50K
21.0,Private,225724.0,Some-college,14.484820365905762,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,20.0,United-States,<=50K
47.0,Federal-gov,55377.0,HS-grad,9.0,Never-married,Machine-op-inspct,Own-child,Black,Male,0.0,0.0,40.0,United-States,<=50K
46.969688415527344,Private,192484.765625,HS-grad,9.155754089355469,Divorced,Transport-moving,Not-in-family,White,Male,0.0,63.71184539794922,55.7064208984375,United-States,<=50K
42.0,Private,62965.17578125,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,60.0,United-States,>50K
29.0,Local-gov,376302.0,Assoc-voc,11.0,Married-civ-spouse,Tech-support,Wife,White,Female,0.0,0.0,29.17577362060547,Nicaragua,>50K
31.0,State-gov,100863.0,Masters,14.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,50.0,United-States,>50K
41.26726531982422,Private,71738.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
35.0,Self-emp-not-inc,241469.0,9th,5.0,Married-civ-spouse,Craft-repair,Husband,White,Male,2635.0,82.46375274658203,32.20866775512695,United-States,<=50K
43.0,Federal-gov,195897.0,HS-grad,8.91409969329834,Married-civ-spouse,Farming-fishing,Husband,White,Male,7298.0,0.0,40.0,United-States,>50K
32.0,Private,258406.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,Mexico,<=50K
